1612,32195144,Condo in Vancouver · ★4.83 · 2 bedrooms · 2 beds · 1 bath,"LOCATION! LOCATION! LOCATION! Whether visiting for work or pleasure, being in the heart of the city allows you to quickly walk and escape to anywhere or anything you may desire. <br /><br />Step out the front door and soon find yourself at an amazing venue such as Rogers Arena, Canada Place, Stanley Park (Aquarium), or Vancouver Art Gallery - just to name a few. <br /><br />Not only does Yaletown have the best entertainment and nightlife Vancouver has to offer, but is located in the middle of Vancouver’s tourist and shopping (Granville St. and Robson St. close by)  districts as well. Find, explore and enjoy all the best stores, restaurants, coffee shops and more! <br /><br />If you want to venture a little further, the train station and ferry terminal are nearby. PS - don’t forget that only one block away is the taxi boat station which is a short 3-5minute ride to Granville Island where you can see and experience true artistic and culinary culture.",239549150,Stephanie,within a few hours,100%,75%,t,2,2,"Vancouver, British Columbia, Canada",Downtown,49.27524,-123.13402,Entire condo,Entire home/apt,4,,,2.0,[],$157.00,4,14,4.0,14.0,9,25,25,25,127,40,4.83,4.87,4.84,4.69,4.93,4.94,4.73,f,1,2.34,1639
978,21298863,Home in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,"Cambie Village is a quiet family-oriented neighbourhood in the heart of the city. A block away on Cambie street you will find charming restaurants, small independent clothing stores, coffee shops including Starbucks and JJ Bean, a movie theatre, a grocery store and some quiet spots to enjoy a drink in the evening. Main Street is about a 10 minute walk and has become one of Vancouver's hippest areas. The variety of restaurants, pubs and funky retail shops are endless. To the South is Queen Elizabeth Park which offers stunning views of Vancouver. On rainy days the Bloedel Conservatory is a great place to listen to tropical birds. Adjacent to the park is the Hillcrest Aqua and Community centre, Nat Bailey Stadium where you can enjoy a summer baseball game or a winter farmer's market.",154132476,Randy,within an hour,100%,86%,t,1,1,"Vancouver, British Columbia, Canada",Riley Park,49.25331,-123.11395,Entire home,Entire home/apt,3,,,2.0,[],$150.00,30,250,30.0,250.0,0,0,0,165,67,5,5.0,4.99,5.0,4.97,5.0,4.99,4.88,f,1,0.9,2658
2759,50135290,Home in Vancouver · ★4.96 · 1 bedroom · 3 beds · 1 bath,,404561012,Dee Dee,,,100%,t,1,1,,Kensington-Cedar Cottage,49.23885,-123.08848,Entire home,Entire home/apt,4,,,3.0,[],,4,1125,4.0,1125.0,0,0,0,0,49,18,4.96,5.0,4.96,5.0,5.0,4.88,4.96,f,1,1.71,6513
4740,837735349958652725,Condo in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,,63652183,Arian,,,100%,f,1,2,,Downtown,49.27418423399702,-123.12633321347178,Entire condo,Entire home/apt,4,,,2.0,[],$220.00,30,137,30.0,137.0,0,0,0,0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0.67,1755
3879,693171464115668945,Condo in Vancouver · ★4.83 · 2 bedrooms · 3 beds · 1 bath,,293583929,Steve,within an hour,99%,99%,t,39,51,,Downtown,49.2796404,-123.1088566,Entire condo,Entire home/apt,5,,,3.0,[],$225.00,3,365,30.0,365.0,17,47,77,322,36,23,4.83,4.83,4.94,4.78,4.86,4.78,4.67,f,21,2.25,2537
5693,946588334647146413,Home in Burnaby · ★4.78 · 3 bedrooms · 3 beds · 1 bath,,358281847,Lin,within an hour,80%,100%,t,7,9,,Hastings-Sunrise,49.27918,-123.02678,Entire home,Entire home/apt,6,,,3.0,[],$264.00,1,365,1.0,1125.0,6,36,66,246,9,9,4.78,4.78,4.89,4.89,5.0,4.78,4.78,t,1,2.08,2236
487,11742643,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,,50477903,Wilson,,,,f,1,1,,Grandview-Woodland,49.28589,-123.06033,Entire condo,Entire home/apt,2,,,1.0,[],$195.00,30,150,30.0,150.0,10,40,70,345,0,0,,,,,,,,f,1,,1169
6433,1017039616997712826,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 private bath,,542872738,Linda,within an hour,100%,100%,f,16,21,,Mount Pleasant,49.25958,-123.11221,Private room in home,Private room,2,,,1.0,[],$92.00,1,365,1.0,365.0,30,60,90,209,1,1,4.0,4.0,4.0,5.0,5.0,4.0,4.0,t,16,1.0,2242
5884,965883530695426359,Rental unit in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 1 bath,"The International Village district of downtown is hyper central and convenient. Within a short walk are:<br />- Rogers Area<br />- Stadium SkyTrain Station<br />- T&T Supermarket<br />- Tinseltown Mall and Cinemas<br />- False Creek Waterfront<br />- Vancouver Seawall<br />- Parq Casino<br />- BC Place Stadium<br />- Gastown<br />- Chinatown<br />- Science World<br />- Pacific Central Station<br />- Many, many restaurants and stores<br /><br />Your unit includes secure, gated, assigned parking. The building has 24 hour security. Please note that although there is a 24-hour concierge, they are for residents, and Airbnb guests should direct questions toward their host.",349804247,El,within an hour,99%,100%,f,66,72,"Vancouver, British Columbia, Canada",Downtown,49.28045176497787,-123.10831660183352,Entire rental unit,Entire home/apt,4,,,2.0,[],$105.00,1,90,1.0,1125.0,0,0,0,0,9,9,4.8,4.9,4.9,4.6,4.9,4.5,4.5,f,43,2.57,3909
344,6975013,Condo in Vancouver · ★4.80 · 1 bedroom · 1 bed · 1 bath,"This is the Vancouver hotspot right now. Very trendy with breweries, restaurants, bars, coffee shops and everything else you need just steps away. You can walk to Gastown, the Seawall and Granville Island if you're ambitious. Public Transit is steps away too if your feet get tired.",3426960,Rachael,,,75%,f,1,2,"Vancouver, British Columbia, Canada",Mount Pleasant,49.26484,-123.09867,Entire condo,Entire home/apt,2,,,1.0,[],$191.00,10,40,9.9,40.0,5,5,28,28,44,0,4.8,4.84,4.73,4.86,4.95,4.95,4.74,f,1,0.43,2452
